NUMERO_INCIDENTE;CODIGO_CRIME;CODIGO_GRUPO_CRIME;DESCRICAO_CRIME;DISTRITO;AREA_REPORTADA;TEVE_TIRO;DATA_OCORRENCIA;ANO;MES;DIA_DA_SEMANA;HORA;ALTO_RISCO
I182070387;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;280;0;01/09/18 20:20;2018;9;Saturday;20;0
I182070381;1842;Drug Violation;DRUGS - POSS CLASS A - HEROIN ETC. ;B2;179;0;01/09/18 20:43;2018;9;Saturday;20;0
I182070381;2610;Other;TRESPASSING;B2;179;0;01/09/18 20:43;2018;9;Saturday;20;0
I182070379;2610;Other;TRESPASSING;B2;179;0;01/09/18 16:56;2018;9;Saturday;16;0
I182070373;3112;Landlord/Tenant Disputes;LANDLORD - TENANT SERVICE;B2;290;0;01/09/18 14:49;2018;9;Saturday;14;0
I182070363;3301;Verbal Disputes;VERBAL DISPUTE;B2;611;0;01/09/18 18:35;2018;9;Saturday;18;0
I182070346;619;Larceny;LARCENY ALL OTHERS;B2;587;0;31/08/18 19:00;2018;8;Friday;19;0
I182070340;613;Larceny;LARCENY SHOPLIFTING;B2;311;0;01/09/18 16:23;2018;9;Saturday;16;0
I182070337;3115;Investigate Person;INVESTIGATE PERSON;B2;282;0;01/09/18 17:48;2018;9;Saturday;17;0
I182070334;724;Auto Theft;AUTO THEFT;B2;326;0;01/09/18 16:24;2018;9;Saturday;16;0
I182070322;3125;Warrant Arrests;WARRANT ARREST;B2;280;0;01/09/18 16:04;2018;9;Saturday;16;0
I182070319;3125;Warrant Arrests;WARRANT ARREST;B2;238;0;01/09/18 16:06;2018;9;Saturday;16;0
I182070315;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;288;0;31/08/18 19:00;2018;8;Friday;19;0
I182070314;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;317;0;01/09/18 15:07;2018;9;Saturday;15;0
I182070302;423;Aggravated Assault;ASSAULT - AGGRAVATED;B2;238;0;01/09/18 14:26;2018;9;Saturday;14;1
I182070301;1402;Vandalism;VANDALISM;B2;304;0;31/08/18 20:15;2018;8;Friday;20;0
I182070290;1402;Vandalism;VANDALISM;B2;261;0;31/08/18 23:30;2018;8;Friday;23;0
I182070290;522;Residential Burglary;BURGLARY - RESIDENTIAL - NO FORCE;B2;261;0;31/08/18 23:30;2018;8;Friday;23;0
I182070288;2101;Operating Under the Influence;OPERATING UNDER THE INFLUENCE ALCOHOL;B2;288;0;01/09/18 13:20;2018;9;Saturday;13;0
I182070288;2900;Other;VAL - VIOLATION OF AUTO LAW - OTHER;B2;288;0;01/09/18 13:20;2018;9;Saturday;13;0
I182070263;1106;Confidence Games;FRAUD - CREDIT CARD / ATM FRAUD;B2;291;0;01/09/18 12:24;2018;9;Saturday;12;0
I182070244;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;180;0;01/09/18 09:22;2018;9;Saturday;9;0
I182070236;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;311;0;01/09/18 10:15;2018;9;Saturday;10;0
I182070234;613;Larceny;LARCENY SHOPLIFTING;B2;276;0;01/09/18 09:43;2018;9;Saturday;9;0
I182070228;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;587;0;01/09/18 08:42;2018;9;Saturday;8;0
I182070228;3410;Towed;TOWED MOTOR VEHICLE;B2;587;0;01/09/18 08:42;2018;9;Saturday;8;0
I182070224;1402;Vandalism;VANDALISM;B2;909;0;01/09/18 09:42;2018;9;Saturday;9;0
I182070221;1402;Vandalism;VANDALISM;B2;288;0;01/09/18 09:01;2018;9;Saturday;9;0
I182070192;724;Auto Theft;AUTO THEFT;B2;182;0;01/09/18 06:23;2018;9;Saturday;6;0
I182070179;2629;Harassment;HARASSMENT;B2;181;0;01/09/18 02:45;2018;9;Saturday;2;0
I182070178;2900;Other;VAL - VIOLATION OF AUTO LAW - OTHER;B2;182;0;01/09/18 01:54;2018;9;Saturday;1;0
I182070173;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;308;0;01/09/18 03:20;2018;9;Saturday;3;0
I182070163;3114;Investigate Property;INVESTIGATE PROPERTY;B2;309;0;01/09/18 02:24;2018;9;Saturday;2;0
I182070152;2662;Ballistics;BALLISTICS EVIDENCE/FOUND;B2;901;0;01/09/18 01:32;2018;9;Saturday;1;1
I182070146;3001;Medical Assistance;DEATH INVESTIGATION;B2;605;0;01/09/18 00:21;2018;9;Saturday;0;0
I182070136;3502;Missing Person Located;MISSING PERSON - LOCATED;B2;611;0;31/08/18 16:00;2018;8;Friday;16;0
I182070132;3119;Firearm Discovery;FIREARM/WEAPON - FOUND OR CONFISCATED;B2;297;0;31/08/18 23:34;2018;8;Friday;23;0
I182070131;3301;Verbal Disputes;VERBAL DISPUTE;B2;320;0;31/08/18 23:18;2018;8;Friday;23;0
I182070116;3114;Investigate Property;INVESTIGATE PROPERTY;B2;309;0;25/08/18 00:00;2018;8;Saturday;0;0
I182070095;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;297;0;31/08/18 20:23;2018;8;Friday;20;1
I182070095;619;Larceny;LARCENY ALL OTHERS;B2;297;0;31/08/18 20:23;2018;8;Friday;20;0
I182070091;2647;Other;THREATS TO DO BODILY HARM;B2;290;0;31/08/18 20:22;2018;8;Friday;20;0
I182070084;361;Robbery;ROBBERY - OTHER;B2;318;0;31/08/18 19:05;2018;8;Friday;19;1
I182070084;2622;Other;KIDNAPPING/CUSTODIAL KIDNAPPING;B2;318;0;31/08/18 19:05;2018;8;Friday;19;0
I182070084;423;Aggravated Assault;ASSAULT - AGGRAVATED;B2;318;0;31/08/18 19:05;2018;8;Friday;19;1
I182070073;2646;Liquor Violation;LIQUOR - DRINKING IN PUBLIC;B2;181;0;31/08/18 18:02;2018;8;Friday;18;0
I182070059;2610;Other;TRESPASSING;B2;179;0;31/08/18 18:50;2018;8;Friday;18;0
I182070054;3115;Investigate Person;INVESTIGATE PERSON;B2;304;0;31/08/18 18:39;2018;8;Friday;18;0
I182070041;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;266;0;30/08/18 20:00;2018;8;Thursday;20;0
I182070035;1810;Drug Violation;DRUGS - SALE / MANUFACTURING;B2;904;0;31/08/18 17:40;2018;8;Friday;17;0
I182070035;1849;Drug Violation;DRUGS - POSS CLASS B - COCAINE ETC.;B2;904;0;31/08/18 17:40;2018;8;Friday;17;0
I182070033;3115;Investigate Person;INVESTIGATE PERSON;B2;329;0;31/08/18 16:50;2018;8;Friday;16;0
I182070031;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;318;0;31/08/18 16:08;2018;8;Friday;16;0
I182070026;2647;Other;THREATS TO DO BODILY HARM;B2;258;0;31/08/18 16:27;2018;8;Friday;16;0
I182070025;613;Larceny;LARCENY SHOPLIFTING;B2;329;0;31/08/18 17:05;2018;8;Friday;17;0
I182070023;706;Auto Theft;AUTO THEFT - MOTORCYCLE / SCOOTER;B2;604;0;31/08/18 00:30;2018;8;Friday;0;0
I182070014;3503;Missing Person Located;MISSING PERSON - NOT REPORTED - LOCATED;B2;281;0;31/08/18 14:04;2018;8;Friday;14;0
I182070000;3201;Property Lost;PROPERTY - LOST;B2;587;0;31/08/18 14:55;2018;8;Friday;14;0
I182069999;617;Larceny;LARCENY THEFT FROM BUILDING;B2;311;0;21/08/18 10:43;2018;8;Tuesday;10;0
I182069997;3115;Investigate Person;INVESTIGATE PERSON;B2;605;0;31/08/18 12:00;2018;8;Friday;12;0
I182069995;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;329;0;31/08/18 15:27;2018;8;Friday;15;0
I182069985;2906;Violations;VAL - OPERATING UNREG/UNINS  CAR;B2;288;0;31/08/18 14:58;2018;8;Friday;14;1
I182069974;724;Auto Theft;AUTO THEFT;B2;604;0;29/08/18 11:50;2018;8;Wednesday;11;0
I182069948;613;Larceny;LARCENY SHOPLIFTING;B2;311;0;31/08/18 12:20;2018;8;Friday;12;0
I182069946;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;614;0;21/08/18 12:00;2018;8;Tuesday;12;0
I182069944;3207;Property Found;PROPERTY - FOUND;B2;179;0;31/08/18 13:40;2018;8;Friday;13;0
I182069925;3201;Property Lost;PROPERTY - LOST;B2;282;0;31/08/18 12:15;2018;8;Friday;12;0
I182069920;3201;Property Lost;PROPERTY - LOST;B2;287;0;31/08/17 12:08;2017;8;Thursday;12;0
I182069909;2647;Other;THREATS TO DO BODILY HARM;B2;318;0;30/08/18 17:30;2018;8;Thursday;17;0
I182069906;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;313;0;31/08/18 09:48;2018;8;Friday;9;0
I182069897;3125;Warrant Arrests;WARRANT ARREST;B2;179;0;31/08/18 10:15;2018;8;Friday;10;0
I182069892;1402;Vandalism;VANDALISM;B2;299;0;30/08/18 20:00;2018;8;Thursday;20;0
I182069874;3820;Motor Vehicle Accident Response;M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY;B2;587;0;31/08/18 08:38;2018;8;Friday;8;0
I182069871;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;319;0;31/08/18 08:22;2018;8;Friday;8;0
I182069871;1402;Vandalism;VANDALISM;B2;319;0;31/08/18 08:22;2018;8;Friday;8;0
I182069860;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;613;0;31/08/18 06:08;2018;8;Friday;6;0
I182069853;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;304;0;31/08/18 03:25;2018;8;Friday;3;0
I182069835;3301;Verbal Disputes;VERBAL DISPUTE;B2;281;0;31/08/18 00:03;2018;8;Friday;0;0
I182069834;3114;Investigate Property;INVESTIGATE PROPERTY;B2;601;0;30/08/18 23:48;2018;8;Thursday;23;0
I182069825;3114;Investigate Property;INVESTIGATE PROPERTY;B2;282;0;31/08/18 00:13;2018;8;Friday;0;0
I182069821;3502;Missing Person Located;MISSING PERSON - LOCATED;B2;281;0;30/08/18 23:22;2018;8;Thursday;23;0
I182069806;3207;Property Found;PROPERTY - FOUND;B2;282;0;30/08/18 22:02;2018;8;Thursday;22;0
I182069801;3301;Verbal Disputes;VERBAL DISPUTE;B2;291;0;30/08/18 21:23;2018;8;Thursday;21;0
I182069777;1402;Vandalism;VANDALISM;B2;901;0;30/08/18 20:05;2018;8;Thursday;20;0
I182069773;3301;Verbal Disputes;VERBAL DISPUTE;B2;296;0;30/08/18 19:07;2018;8;Thursday;19;0
I182069765;3125;Warrant Arrests;WARRANT ARREST;B2;265;0;30/08/18 19:03;2018;8;Thursday;19;0
I182069740;3301;Verbal Disputes;VERBAL DISPUTE;B2;297;0;30/08/18 17:55;2018;8;Thursday;17;0
I182069734;2906;Violations;VAL - OPERATING UNREG/UNINS  CAR;B2;0;0;30/08/18 16:32;2018;8;Thursday;16;1
I182069734;2900;Other;VAL - VIOLATION OF AUTO LAW - OTHER;B2;0;0;30/08/18 16:32;2018;8;Thursday;16;0
I182069734;2905;Violations;VAL - OPERATING WITHOUT LICENSE;B2;0;0;30/08/18 16:32;2018;8;Thursday;16;1
I182069733;1842;Drug Violation;DRUGS - POSS CLASS A - HEROIN;B2;181;0;30/08/18 17:41;2018;8;Thursday;17;0
I182069733;1849;Drug Violation;DRUGS - POSS CLASS B - COCAINE;B2;181;0;30/08/18 17:41;2018;8;Thursday;17;0
I182069722;2629;Harassment;HARASSMENT;B2;318;0;25/07/18 12:50;2018;7;Wednesday;12;0
I182069695;1102;Fraud;FRAUD - FALSE PRETENSE / SCHEME;B2;330;0;24/08/18 18:00;2018;8;Friday;18;0
I182069690;3301;Verbal Disputes;VERBAL DISPUTE;B2;286;0;30/08/18 14:46;2018;8;Thursday;14;0
I182069687;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;278;0;28/08/18 12:00;2018;8;Tuesday;12;0
I182069687;301;Robbery;ROBBERY - STREET;B2;278;0;28/08/18 12:00;2018;8;Tuesday;12;1
I182069675;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;0;0;24/08/18 22:26;2018;8;Friday;22;0
I182069674;3115;Investigate Person;INVESTIGATE PERSON;B2;178;0;30/08/18 13:12;2018;8;Thursday;13;0
I182069672;3301;Verbal Disputes;VERBAL DISPUTE;B2;264;0;30/08/18 14:52;2018;8;Thursday;14;0
I182069661;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;0;0;30/08/18 08:15;2018;8;Thursday;8;0
I182069648;614;Larceny From Motor Vehicle;LARCENY THEFT FROM MV - NON-ACCESSORY;B2;310;0;29/08/18 20:30;2018;8;Wednesday;20;0
I182069640;3501;Missing Person Reported;MISSING PERSON;B2;281;0;30/08/18 13:22;2018;8;Thursday;13;0
I182069639;3501;Missing Person Reported;MISSING PERSON;B2;281;0;30/08/18 13:20;2018;8;Thursday;13;0
I182069629;2647;Other;THREATS TO DO BODILY HARM;B2;318;0;30/08/18 12:49;2018;8;Thursday;12;0
I182069620;1102;Fraud;FRAUD - FALSE PRETENSE / SCHEME;B2;296;0;30/08/18 12:08;2018;8;Thursday;12;0
I182069604;3201;Property Lost;PROPERTY - LOST;B2;282;0;30/08/18 11:15;2018;8;Thursday;11;0
I182069595;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;179;0;30/08/18 10:05;2018;8;Thursday;10;0
I182069571;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;180;0;30/08/18 09:22;2018;8;Thursday;9;0
I182069570;3201;Property Lost;PROPERTY - LOST;B2;240;0;30/08/18 09:36;2018;8;Thursday;9;0
I182069545;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;329;0;30/08/18 06:30;2018;8;Thursday;6;0
I182069540;2610;Other;TRESPASSING;B2;178;0;30/08/18 06:33;2018;8;Thursday;6;0
I182069536;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;611;0;30/08/18 04:52;2018;8;Thursday;4;0
I182069516;3801;Motor Vehicle Accident Response;M/V ACCIDENT - OTHER;B2;901;0;29/08/18 23:46;2018;8;Wednesday;23;0
I182069515;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;0;0;29/08/18 23:37;2018;8;Wednesday;23;0
I182069490;3201;Property Lost;PROPERTY - LOST;B2;326;0;29/08/18 22:21;2018;8;Wednesday;22;0
I182069482;616;Larceny;LARCENY THEFT OF BICYCLE;B2;605;0;29/08/18 03:50;2018;8;Wednesday;3;0
I182069466;1849;Drug Violation;DRUGS - POSS CLASS B - COCAINE;B2;261;0;29/08/18 19:13;2018;8;Wednesday;19;0
I182069465;3115;Investigate Person;INVESTIGATE PERSON;B2;614;0;29/08/18 19:47;2018;8;Wednesday;19;0
I182069464;3115;Investigate Person;INVESTIGATE PERSON;B2;612;0;29/08/18 20:40;2018;8;Wednesday;20;0
I182069454;614;Larceny From Motor Vehicle;LARCENY THEFT FROM MV - NON-ACCESSORY;B2;182;0;28/08/18 12:00;2018;8;Tuesday;12;0
I182069451;1874;Drug Violation;DRUGS - OTHER;B2;282;0;29/08/18 19:49;2018;8;Wednesday;19;0
I182069449;2662;Ballistics;BALLISTICS EVIDENCE/FOUND;B2;313;0;29/08/18 18:50;2018;8;Wednesday;18;1
I182069447;1874;Drug Violation;DRUGS - OTHER;B2;325;0;29/08/18 19:09;2018;8;Wednesday;19;0
I182069447;1810;Drug Violation;DRUGS - SALE / MANUFACTURING;B2;325;0;29/08/18 19:09;2018;8;Wednesday;19;0
I182069447;1842;Drug Violation;DRUGS - POSS CLASS A - HEROIN;B2;325;0;29/08/18 19:09;2018;8;Wednesday;19;0
I182069438;3301;Verbal Disputes;VERBAL DISPUTE;B2;262;0;29/08/18 17:36;2018;8;Wednesday;17;0
I182069423;2646;Liquor Violation;LIQUOR - DRINKING IN PUBLIC;B2;280;0;29/08/18 18:29;2018;8;Wednesday;18;0
I182069420;1501;Firearm Violations;WEAPON - FIREARM - CARRYING / POSSESSING;B2;179;0;29/08/18 17:57;2018;8;Wednesday;17;0
I182069420;2610;Other;TRESPASSING;B2;179;0;29/08/18 17:57;2018;8;Wednesday;17;0
I182069420;1510;Firearm Violations;WEAPON - FIREARM - OTHER VIOLATION;B2;179;0;29/08/18 17:57;2018;8;Wednesday;17;0
I182069412;2646;Liquor Violation;LIQUOR - DRINKING IN PUBLIC;B2;288;0;29/08/18 17:58;2018;8;Wednesday;17;0
I182069411;1402;Vandalism;VANDALISM;B2;310;0;29/08/18 17:13;2018;8;Wednesday;17;0
I182069407;614;Larceny From Motor Vehicle;LARCENY THEFT FROM MV - NON-ACCESSORY;B2;310;0;29/08/18 17:33;2018;8;Wednesday;17;0
I182069393;3803;Motor Vehicle Accident Response;M/V ACCIDENT - PERSONAL INJURY;B2;319;0;29/08/18 16:20;2018;8;Wednesday;16;0
I182069372;3301;Verbal Disputes;VERBAL DISPUTE;B2;315;0;29/08/18 15:39;2018;8;Wednesday;15;0
I182069352;2647;Other;THREATS TO DO BODILY HARM;B2;586;0;29/08/18 14:08;2018;8;Wednesday;14;0
I182069342;413;Aggravated Assault;ASSAULT - AGGRAVATED - BATTERY;B2;319;0;29/08/18 13:50;2018;8;Wednesday;13;1
I182069338;3501;Missing Person Reported;MISSING PERSON;B2;294;0;24/08/18 13:30;2018;8;Friday;13;0
I182069316;3119;Firearm Discovery;FIREARM/WEAPON - FOUND OR CONFISCATED;B2;289;0;29/08/18 13:17;2018;8;Wednesday;13;0
I182069310;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;614;0;29/08/18 11:25;2018;8;Wednesday;11;0
I182069306;413;Aggravated Assault;ASSAULT - AGGRAVATED - BATTERY;B2;604;0;28/08/18 18:30;2018;8;Tuesday;18;1
I182069305;2647;Other;THREATS TO DO BODILY HARM;B2;324;0;29/08/18 11:46;2018;8;Wednesday;11;0
I182069302;724;Auto Theft;AUTO THEFT;B2;312;0;29/08/18 11:36;2018;8;Wednesday;11;0
I182069297;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;264;0;29/08/18 11:48;2018;8;Wednesday;11;0
I182069285;2610;Other;TRESPASSING;B2;288;0;29/08/18 11:00;2018;8;Wednesday;11;0
